Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"11,5 tỷ","Đường 20, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","168 m² (7,0x24,0)",1 phòng,1 WC,N/A,N/A,N/A,Sổ đỏ
"6,5 tỷ","Đường só, Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","89 m² (4,5x19,0)",2 phòng,2 WC,1,N/A,N/A,Sổ hồng
"1,99 tỷ","Đường Đặng Văn Bi, Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","60 m² (5,0x12,0)",3 phòng,3 WC,3,N/A,N/A,Sổ hồng
37 tỷ,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"175 m² (8,0x21,0)",8 phòng,8 WC,6,N/A,N/A,Sổ hồng
42 tỷ,"232, Đường Võ Văn Ngân, Phường Bình Chiểu, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"187 m² (6,5x27,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"6,3 tỷ","Đường Đặng Văn Bi, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","87 m² (7,0x14,0)",3 phòng,2 WC,2,N/A,N/A,Sổ hồng
"7,2 tỷ","Đường 11, Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","94 m² (4,0x23,5)",2 phòng,2 WC,2,N/A,N/A,Sổ hồng
"3,1 tỷ","Đường Nguyễn Bá Luật, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ",64 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"11,3 tỷ","Đường Hiệp Bình, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM","Nhà hẻm, ngõ","117 m² (6,0x19,5)",4 phòng,6 WC,4,N/A,N/A,Sổ hồng
28 tỷ,"Đường Võ Văn Ngân, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"80 m² (4,0x20,0)",1 phòng,1 WC,N/A,N/A,N/A,Sổ hồng
20 tỷ,"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"6,5 tỷ","Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"68 m² (4,0x17,0)",5 phòng,5 WC,4,N/A,N/A,Sổ hồng
21 tỷ,"32, Đường Hàn Thuyên, Phường Bình Thọ, TP. Thủ Đức - Quận Thủ Đức, TP.HCM",Nhà mặt tiền,"111,5 m² (5,8x19,5)",2 phòng,1 WC,2,Tây Nam,Tây Nam,Sổ đỏ
