Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"2,85 tỷ","Đường Bà Hom, Phường 13, Quận 6, TP.HCM","Nhà hẻm, ngõ",16 m²,N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
"7,55 tỷ","Đường Kinh Dương Vương, Phường 13, Quận 6, TP.HCM",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22 tỷ,"7D, Đường Phạm Đình Hổ, Phường 2, Quận 6, TP.HCM",Nhà mặt tiền,"64,6 m² (3,4x19,0)",5 phòng,4 WC,4,Đông,Đông,Sổ hồng
"3,29 tỷ","Đường Tân Hòa Đông, Phường 14, Quận 6, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"19,5 tỷ","Đường Chợ Lớn, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"72 m² (4,0x18,0)",6 phòng,7 WC,N/A,Nam,Nam,Sổ hồng
10 tỷ,"Đường Bình Phú, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,68 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
22 tỷ,"7D, Đường Phạm Đình Hổ, Phường 2, Quận 6, TP.HCM",Nhà mặt tiền,"64,6 m² (3,8x17,0)",N/A,N/A,4,Đông,Đông,Sổ hồng
"4,1 tỷ","Đường Cao Văn Lầu, Phường 1, Quận 6, TP.HCM","Nhà hẻm, ngõ","70 m² (5,0x14,0)",4 phòng,5 WC,3,N/A,N/A,Sổ hồng
"3,55 tỷ","Đường Nguyễn Xuân Phụng, Phường 2, Quận 6, TP.HCM","Nhà hẻm, ngõ","60 m² (4,0x15,0)",4 phòng,4 WC,3,N/A,N/A,Sổ hồng
"12,5 tỷ","Đường Bình Phú 1, Phường 11, Quận 6, TP.HCM",Nhà mặt tiền,"64 m² (4,0x16,0)",4 phòng,4 WC,4,N/A,N/A,Sổ hồng
"7,3 tỷ","Đường Bình Phú 2, Phường 10, Quận 6, TP.HCM",Nhà mặt tiền,48 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"1,85 tỷ","Đường Hậu Giang, Phường 11, Quận 6, TP.HCM","Nhà hẻm, ngõ","40 m² (4,0x10,0)",2 phòng,2 WC,N/A,N/A,N/A,Sổ hồng
16 tỷ,"Đường Phạm Văn Chí, Phường 3, Quận 6, TP.HCM",Nhà mặt tiền,"111 m² (3,7x30,0)",N/A,N/A,N/A,N/A,N/A,Sổ hồng
"1,55 tỷ","Đường Hậu Giang, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ","50 m² (4,5x11,2)",3 phòng,3 WC,N/A,N/A,N/A,Sổ hồng
"2,4 tỷ","Đường Hậu Giang, Phường 12, Quận 6, TP.HCM","Nhà hẻm, ngõ",27 m²,N/A,N/A,N/A,N/A,N/A,Giấy tờ hợp lệ
