Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Hướng ban công,Hướng cửa chính,Giấy tờ pháp lý
"14,9 tỷ","Đường Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,68 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"19,5 tỷ","Đường Nguyễn Kiệm, Phường 9, Quận Phú Nhuận, TP.HCM",Nhà mặt tiền,"102 m² (5,0x22,0)",8 phòng,6 WC,N/A,N/A,N/A,Sổ hồng
"3,3 tỷ","Đường Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",48 m²,3 phòng,3 WC,3,N/A,N/A,Sổ hồng
"2,5 tỷ","Đường Lam Sơn, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",40 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"2,3 tỷ","Đường Phan Đình Phùng, Phường 15, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",61 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"4,6 tỷ","Đường Hoa Giấy, Phường 7, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","48 m² (4,0x12,0)",4 phòng,5 WC,3,N/A,N/A,Sổ hồng
3 tỷ,"Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","25 m² (3,3x7,5)",3 phòng,4 WC,5,N/A,N/A,Sổ hồng
"2,5 tỷ","Đường Đoàn Thị Điểm, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","51,6 m² (4,3x12,0)",3 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"1,49 tỷ","Đường Đào Duy Anh, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ","46 m² (5,0x9,2)",4 phòng,4 WC,N/A,N/A,N/A,Sổ hồng
"4,2 tỷ","Đường Hoa Đào, Phường 1, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",75 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
"8,2 tỷ","Đường Đào Duy Anh, Phường 9, Quận Phú Nhuận, TP.HCM","Nhà hẻm, ngõ",35 m²,N/A,N/A,N/A,N/A,N/A,Sổ hồng
